title,price,taste,brand,description,spirit_style,state
Exclusive Casks Bowmore 11 yr,84.99, Intense . Peat . Smoke . Sea Salt . Long ,Exclusive Casks," Islay, Scotland- Est 2004. Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. This peaty and smokey offering is a taste of heaven for the peated whisky drinker. ",Single Malt,
Exclusive Casks Bunnahabhain 22 yr,104.99, Rich . Fruit . Oak . Long ,Exclusive Casks," Islay, Scotland- Est 2004. Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. A rare Islay offering that is not smoky like tradition Islay malts. Instead you'll find lots of fruit notes and a round character. ",Single Malt,
Exclusive Casks Clynelish 17 Yr,114.99, Rich . Sweet . Spice . Fruit . Complex ,Exclusive Casks," Highland, Scotland - Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. Clynelish is increasingly difficult to get as an independent single cask and is a very complex elegant single malt. The palate is sweet with fruit and a hint of spice. Enjoy! ",Single Malt,Highland
Exclusive Casks Craigellachie 12 Yr,59.99, Light . Vanilla . Oak . Balanced ,Exclusive Casks," Speyside, Scotland - This is a unique expression from a distillery known for creating high-quality malts for traditional blended scotches. Full-bodied with definite hints of smoke and fruity floral aromas. Creamy mouthfeel and light acidity. ",Single Malt,Speyside
Exclusive Casks Dalmore 15 Yr,109.99, Intense . Fruit . Malt . Spice . Long ,Exclusive Casks," Highland, Scotland - Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. This single cask expression of just a few hundred bottles is a satisfying dram and will not disappoint. Rich fruits and sweet malt flavors with a long finish. Enjoy neat. ",Single Malt,Highland
Exclusive Casks Fettercairn 24 Yr,149.99, Delicate . Apricot . Vanilla . Spice . Balanced ,Exclusive Casks," Highland, Scotland - Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. Slowly matured in a refill oak hogshead, this whisky delights from start to finish. Apricots, vanilla, spices and oak fill the palate. Sip neat or with a drop of water added. ",Single Malt,Highland
Exclusive Casks Glen Garioch 19 yr,89.99, Intense . Peat . Mustard Seed . Long ,Exclusive Casks," Highlands, Scotland- Est 2004. Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. Higher proof gives this medium peaty offering real emphasis. Other earthy notes are present giving it a sophisticated balance. ",Single Malt,
Exclusive Casks Glen Garioch 23 yr,129.99, Intense . Herbal . Peat . Long ,Exclusive Casks," Highlands, Scotland- Est 2004. Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. A great age for this distillery this offering retains its intensity but is mellow enough to drink at casks strength. ",Single Malt,
Exclusive Casks Glen Grant 19 Yr,129.99, Rich . Sweet . Cherry . Vanilla . Balanced ,Exclusive Casks," Speyside, Scotland - Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. Icing sugar, cherries, and vanilla fill the palate leading to a sweet finish. This 19yr single cask expression is beautifully developed and balanced. Sip neat. ",Single Malt,Speyside
Exclusive Casks Glentauchers 21 Yr,129.99, Rich . Creamy . Sweet . Balanced ,Exclusive Casks," Speyside, Scotland - Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. Glentauchers is a hard-to-find, little known distillery is usually used by the big blenders. This is a rare bottling of the malt whisky. The palate is creamy, rich and sweet. ",Single Malt,Speyside
Exclusive Casks Invergordon 23 Yr,99.99, Rich . Fruit . Sweet . Vanilla . Long ,Exclusive Casks," Highland, Scotland - Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. This whisky was taken from a refill ex-Sherry oak cask. The palate is full of rich fruit flavor and vanilla. The finish is long and sweet. Perfect for sipping neat. Enjoy! ",Single Malt,Highland
Exclusive Casks Tobermory 18 Yr,129.99, Rich . Sweet . Smoke . Long ,Exclusive Casks," Islands, Scotland - Situated on an island off the west coast of Scotland, you'll get some saltiness backing up the malty character. The smoky taste may seem oily at times contributing to its soft mouth-feel. ",Single Malt,Islay & Islands
Exclusive Casks Tomatin 17 Yr,89.99, Rich . Fruit . Sweet . Complex ,Exclusive Casks," Highland, Scotland - This Tomatin single malt is medium-bodied with a distinct maltiness and light smoke. You should be able to pick up on caramelized fruits and light vanilla notes. ",Single Malt,Highland
Exclusive Casks Tullibardine 23 Yr,139.99, Intense . Dried Fruit . Oak . Spice . Long ,Exclusive Casks," Highland, Scotland - Small, family-owned Independent bottler selecting the finest casks Scotland has to offer. Tullibardine is a small distillery that makes a distinctively dry and fruity malt whisky. Dried fruits and oak flavors lead to a spicy finish. Enjoy neat. ",Single Malt,Highland
Famous Grouse,18.99, Rich . Toast . Oak . Spice . Balanced ,Famous Grouse," Scotland- Fine malt whiskies are married with exceptional grain whiskies for an unusually long period in fully seasoned oak casks, thus creating a blend of the smoothest possible character. ",Blended Scotch,
Famous Grouse 18YR,77.99,None,Famous Grouse," Wine Enthusiast -Scotland- ""The bouquet features rich aromas of fudge, dark caramel, and cocoa. The palate entry is very toffee-like and honeyed; at midpalate the flavor becomes downright assertive with the butterscotch, marshmallow, and honey intensity."" ",Blended Scotch,
Famous Grouse Black Grouse,28.99,None,Famous Grouse," Scotland- Initial aromas of peat smoke followed by delicate sweetness; notes of golden raw sugar, malt and oak. Subtle smoky-sweet tones surround a silky smooth delivery, with hints of cocoa and spice. Finishes long, peaty and aromatic with a gentle smokiness and a resonant oaky note. ",Blended Scotch,
Famous Grouse Naked Grouse,28.99,None,Famous Grouse," Highland, Scotland- Using single malts from the macallan, highland park, glenrothes and glenturret, the famous grouse is known around the world as the best selling whisky in Scotland. For an added layer of complexity and flavor, the naked grouse added 6 months of aging in sherry casks. ",,
Famous Grouse Smoky Black,22.99,None,Famous Grouse," Scotland- Medium and quite smoky nose with solid peat notes, rummy sweetness and a touch of dry wood. On the palate it is medium and balanced with notes of peat smoke, caramel, and spice. The finish is long and slightly peaty. ",Blended Scotch,
Famous Grouse w Cup,22.99,None,Famous Grouse,,Blended Scotch,
Famous Grouse w/ Shaker,22.99,None,Famous Grouse,,Blended Scotch,
First Edition Glenrothes 23 Yr,229.99,None,First Edition," Highlands, Scotland- Honey and apple blossom on the nose, becoming more honeyed with spices and vanilla on the palate. Orange marmalade and more spices on the satisfying finish. Sip neat. ",Single Malt,
Foggie Moss Aultmore 12 Yr,46.99,None,Foggie Moss," Speyside- Distilled in a misty, mysterious part of Speyside. The Foggie Moss conceals the whiskies' water source & filters it through gorse & heather for increased purity. Born of fog, bog and brimming wee burns, a verdant nose of dewy moss and delicate flora & fresh wild herbs. ",Single Malt,Speyside
Foggie Moss Aultmore 18 Yr,129.99,None,Foggie Moss," Speyside, Scotland- Born of fog, bog and brimming wee burns, a verdant nose of dewy moss and delicate flora, sweet liquid tracking a secluded path, gliding through green grass and fresh wild herbs. ",Single Malt,Speyside
Ghosted Reserve 26 YO,389.99, Rich . Orange . Spice . Tropical . Long ,Ghosted Reserve," Lowlands, Scotland - William Grant and Sons Master Blender, chose malts from two Ghosted distilleries, distilleries long-since closed or silent, namely Ladyburn and Inverleven & married the whiskies in hand-picked oak casks. It is not just rare - it is unrepeatable. ",Single Malt,Lowland
Girvan,44.99,None,Girvan," Lowlands, Scotland - A taste that truly reflects our pioneering distillation heritage. It is a rare spirit: one rich in vanilla, toffee, honey and caramelised fruit notes. Bottled without the addition of caramel, and non chill filtered, the natural golden colour shines through. ",Single Malt,
Girvan 25 Yr,389.99, Light . Honey . Vanilla . Fruit . Balanced ,Girvan," Lowlands,Scotland - Filled to American White Oak our whisky's soul is foraged from wood and mellowed by time. Naturally golden amber in color - this is single grain whisky at its finest. Notes of honey, toffee, vanilla, and caramelized fruits. It is, quite simply, deliciously different. ",Single Malt,
Girvan 30 Yr,599.99, Rich . Vanilla . Fruit . Wood . Balanced ,Girvan," Lowlands, Scotland - Slow, gentle maturation in American Oak barrels adds richness & complexity - notes of vanilla, zesty fruit & woody spiced finish - for a taste experience unlike other whiskies. Bottled w/o the addition of caramel, & non-chill filtered. ",Single Malt,
Glen Elgin Single Malt Scotch 18Yr,379.99, Rich . Sweet . Spice . Orange . Balanced ,Glen Elgin," Scotland- Smooth and very sweet, with a burst of sweetness that washes over the palate. Traces of honey are followed by sour apples and brown sugar. The spice builds, with light cinnamon joined by dark clove and dried orange peel. ",Single Malt,Speyside
Glen Ellis Blended Scotch Whisky,13.99, Medium . Vanilla . Smoke . Mild ,Glen Ellis," Scotland - A harmonious blend of well-aged and aromatic whiskies from the finest regions of Scotland. This blend uses generous amounts of mature malts giving the whisky a rich, smokey character that drinks well neat or on the rocks. ",Blended Scotch,
Glen Fohdry 12yr Speyside Single Malt,37.99, Delicate . Sweet . Fruit . Apple . Balanced ,Glen Fohdry," Scotland, Speyside - Offered at an ABV of 47.1% and non-chill filtered to ensure that you can enjoy the full flavor of this excellent whisky at its ideal strength. Creamy with hints of caramel and ripe banana. 2018 San Francisco World Spirits Competition DOUBLE GOLD Medal Winner ",Single Malt,Speyside
Glen Fohdry 21yr Speyside Single Malt,79.99, Medium . Pear . Fruit . Oak . Complex ,Glen Fohdry," Scotland, Speyside - With longer maturation in ex-bourbon barrels, this older expression develops sweet and tart fruit flavors that mingle with soft vanilla and nutmeg. The higher strenth allows those flavors to endure with every sip. Enjoy neat or diluted with a couple drops of water. ",Single Malt,Speyside
Glen Fohdry Double Cask Speyside Single Malt Scotch,27.99, Delicate . Fruit . Vanilla . Citrus . Balanced ,Glen Fohdry," Scotland, Speyside - On the nose, peach and green apple followed by vanilla and spice. Rich on the palate, with notes of sweet vanilla and almonds, followed by a smooth finish with subtle notes of fruit. Non-chill filtered to preserve the wonderful flavors that develop over time. ",Single Malt,Speyside
Glen Garioch 12 Yr,71.99,None,Glen Garioch," Wine Enthusiast -Highlands, Scotland- ""Light amber color, sweet and fruity scent, like apples. The flavor is sweet, with a deeply honeyed finish, and a splash of water brings out a nascent smokiness and spiciness."" ",Single Malt,
Glen Garioch 15 Yr,136.99, Intense . Malt . Oak . Long ,Glen Garioch," Highlands, Scotland- Intense, firm and quite rich. Starts malty, but becomes drier and more spicy with flavors of lavender and oak with a syrup sweetness. Long mellow finish that is very drinkable with a complex balance of flavors. ",Single Malt,Highland
Glen Garioch Single Malt Virgin Oak,119.99,None,Glen Garioch," Scotland- Glen Garioch uses virgin North American white oak casks for the entirety of the maturation for their Virgin Oak release. Using brand new barrels for whisky, gives bold flavors that come from this release. ",Single Malt,Highland
Glen Garioch Vintage 1995,99.99,None,Glen Garioch," Scotland- This 1995 vintage was the last to smoke its barley with peat, making history in the surrounding area. Warm and spicy on the palate, with tastes of pancakes filled with layers of baked banana and toffee sauce, mocha chocolate and warm golden syrup. ",Single Malt,Highland
Glen Garioch Vintage 1999,109.99, Rich . Maple . Spice . Long ,Glen Garioch," Scotland- This small batch release has a full bodied Highland character from maturation in Oloroso sherry casks. Full-bodied and intensely sherried with a syrupy mouth coating texture. Chocolate and maple soak into the palate, carrying the tingly warmth of nutmeg and ginger. ",Single Malt,Highland
Glen Grant 12 Yr,38.99,None,Glen Grant," Speyside, Scotland- Bright gold with aromas of honey, pear, and apple with hints of almond and citrus. The palate highlights notes of apple pie crust, caramel, and vanilla. Finishes with lingering fruit and subtle hints of spice. ",Single Malt,Speyside
Glen Grant 15 Yr,69.99,None,Glen Grant,,Single Malt,Speyside
Glen Grant 16 Yr,76.99,None,Glen Grant," Speyside,Scotland- Aromas of peach creme brulee,toasted grain, candle wax, and roasted nuts follow through on a plush silky entry to a dry-yet-fruity medium-to-full body with elegant depth and graceful balance. Concludes with a peppery spice, wet mossy stone, and nutshell accent finish. ",Single Malt,
Glen Grant 18 Yr,129.99,None,Glen Grant," Speyside, Scotland- Bright gold with rich and floral aromas, oaky undertones, and hints of baking spices. The palate highlights delicate malty caramel, vanilla, and raisins. Finishes long and sweet with hints of nuts and spice. ",Single Malt,Speyside
Glen Grant Majors Reserve Scotch,38.99,None,Glen Grant," Speyside, Scotland- Light amber with a nose of fruits and vanilla. Body is slightly dry, yet enters smoothly with fresh pears and apples that fade into vanilla. Finishes long and nutty with hints of vanilla. ",Single Malt,
Glen Grant Single Malt 10 YR,40.99,None,Glen Grant," Speyside, Scotland - Clean and distinctive taste and pale golden color. Ripe orchard notes on the nose with intense, fruity tones followed by a soft nutty, almond finish. Enjoy neat or on the rocks. ",Single Malt,
Glen Kirk 12 Year Single Malt Scotch Whisky,29.99, Medium . Barley . Spice . Balanced ,Glen Kirk," Speyside, Scotland - Oak and floral tones intermingle making the nose rich and mature. Oaky vanilla cream fills the palate along with the sweetness of barley. The finish is smooth and lengthy. Enjoy on the rocks! Silver Medal SF Spirits Competition 2015 ",Single Malt,Speyside
Glen Kirk 8 Yr Single Malt Scotch Whisky,19.99, Delicate . Grass . Barley . Balanced ,Glen Kirk," Speyside, Scotland- Attractively fresh and grassy clean aromas. Mouth-watering with an intense and delicious barley richness. A bit spicy with a touch of oak. A nice introduction to Scotch. ",Single Malt,Speyside
Glen Logie Blended Scotch,9.99, Light . Vanilla . Wood . Balanced ,Glen Logie," Scotland - Master blended and handpicked from several of Scotland's finest distilleries, this blend uses carefully measured amounts of mature and younger malts giving the whisky a rich but balanced flavor. ",Blended Scotch,
Glen Moray 10 Year Scotch,38.99,None,Glen Moray," Speyside, Scotland - Fully matured in Chardonnay wine barrels. The mouth feel is slightly spiced with a warming, mouthwatering effect. Malty toffee sweetness is present with blackcurrants and a citrus lemongrass tang. On the finish, shortbread, ginger, and herbal notes. ",Single Malt,
Glen Moray 12 Yr,29.99, Rich . Floral . Toffee . Balanced ,Glen Moray," Speyside, Scotland- Aroma is sweet, fruity and floral. Smooth, warming and rounded with a good firm body. Lots of sweet, soft malty flavors evolve on palate, surrounded by toffee and dried apricots. Finish is pleasant and medium-length. ",Single Malt,Speyside
Glen Moray 15 Yr,45.99,None,Glen Moray," Speyside, Scotland- The amalgamation of two distinct cask styles - sherry and American oak. An exquisitely complex whisky with a hint of spice and delicate smoke that boasts heady dried fruits and rich dark chocolate. ",Single Malt,Speyside
Glen Moray 16 Year Whisky,59.99,None,Glen Moray," Speyside, Scotland - Glen Moray 16 Year Single Malt Scotch is rich ensemble of flavours including dried fruit, chocolate and barley sugar all working together to create a perfect taste experience. ",Single Malt,
Glen Moray 18 Yr,84.99,None,Glen Moray," Speyside, Scotland- Glen Moray 18 Year Scotch Whisky is quietly understated and oozes rich, old, oak wood and a gentle, but wide variety of woody spice notes across the palate. There is a malty core and a touch of fruit as well. ",Single Malt,Highland
Glen Moray 25 Year,299.99, Rich . Vanilla . Orange . Spice . Complex ,Glen Moray," Scotland- This extremely rare vintage comes to the market as a limited edition. Individually numbered, each bottle is unique. Finished in authentic Port Casks imported from the best port houses in Portugal, this rich and complex whisky offers a wide variety of delicate aromas. ",Single Malt,Speyside
Glen Moray Chardonnay Cask,26.49,None,Glen Moray," Speyside, Scotland- Fresh clean nose with hints of apple, pear drops, key lime pie and bubblegum fading to a cinnamon sugar aroma. Caramelized fruit and butterscotch notes. An elegant whisky with soft mouthfeel and taste befitting this meeting of Speyside and Burgundy. Nutty finish. ",Single Malt,Speyside
Glen Moray Classic Sherry Cask Finish,24.99,None,Glen Moray, Scotland- 6-7 years in ex-Bourbon barrels with 12-month finish in an Oloroso Sherry Hogsheads. Intense Oloroso sherry flavors marry with sweet vanilla oak to produce a whisky which has a wonderful depth of character. ,Single Malt,
Glen Moray Classic Single Malt Scotch,19.99,None,Glen Moray," Speyside, Scotland - At full strength, the aroma is fragrant and lightly drying with warming malty notes. on the palate malty toffee sweetness is present throughout with blackcurrants and a fragrant citrus lemongrass tang. 91pts ""Top 100 spirits"" from Wine Enthusiast ",Single Malt,Speyside
Glen Moray Classic w 2 Glasses,19.99,None,Glen Moray,,Single Malt,
Glen Moray Mastery,859.99,None,Glen Moray," Speyside, Scotland- Bourbon cask matured Glen Moray from the 1970's adds complexity and vintage oak character, with port finished whisky from the 1980's bringing a sweeter character and spice. ",Single Malt,Speyside
Glen Moray Port Cask,24.99,None,Glen Moray," Speyside, Scotland- Toasted vanilla and subtle hints of oak. Aromas of rich dried fruits and leather follow, laced with dark chocolate and blackberries. Spice hits the tongue combined with a refreshing lemon-citrus tang. Develops a rich caramel sweetness with traces of cinnamon. ",Single Malt,Speyside
Glen Ness 12 Yr Single Malt Scotch Whisky,27.99, Delicate . Spice . Oak . Balanced ,Glen Ness," Highland, Scotland- Clean and creamy with a bit of sweetness balanced with oaky spice and light peat. Matured for 12 years giving a round, elegant palate and a very smooth finish. Sip and enjoy! Silver Medal SF Spirits Competition 2015 ",Single Malt,Highland
Glen Ness 8 Yr Single Malt Scotch Whisky,19.99, Delicate . Barley . Peat . Balanced ,Glen Ness," Highlands, Scotland- Created by the age-old process of warming carefully selected malted barley over smoky peat fire and the addition of the purest Highland Spring water. Matured for 8 yrs for a round palate with hints of peat and smooth finish. Silver Medal SF Spirits Competition 2015 ",Single Malt,Highland
Glen Ness Single Malt Scotch Whisky,18.99, Rich . Oak . Nut . Long ,Glen Ness," Highlands, Scotland- From the premier region of Scotland for the production of the finest Single Malts with the most complex flavors and excellence of quality. Matured in selected oak casks to enhance flavor, giving a smooth finish. Silver Medal SF Spirits Competition 2015 ",Single Malt,Highland
Glen Salen Pre Malt,19.99,None,Glen Salen," Scotland- Comprised of carefully selected single malts from over 35 different distilleries, sure to please both types of Scotch enthusiasts- blended and single malt with its fine maturity. ",Single Malt,
Glen Scotia 15 Yr Old,74.99,None,Glen Scotia," Lowlands, Scotland- Gently matured in fine American oak barrels, the 15 year has rich colors, broad and medium-weight with citrus peels, and ginger snap biscuits. A complicated palate where the initial nose would lead you to expect plump fruits yet producing surprisingly dry element. ",Single Malt,Campbeltown
Glen Scotia Double Cask,46.99,None,Glen Scotia, Scotland- Vibrant fruit aromas of peach and green apples followed by chewy vanilla fudge notes with a hint of salinity and oaky spices. The palate opens with more fudge and a dusting of powdered sugar. Powerful and oily with a touch of brandy character. Sherried notes on the finish. ,Single Malt,Campbeltown
Glen Scotia Victoriana,99.99,None,Glen Scotia," Lowlands, Scotland- Chosen for its rare character, each cask is finished in deep charred oak producing an exceptionally smooth single malt whisky. Bottled in traditional fashion straight from the cask and without filtration. ",Single Malt,Campbeltown
GlenAllachie 13 Yr,69.99, Intense . Caramel . Apple . Vanilla . Long ,GlenAllachie," Speyside, Scotland- GlenAllachie uses water from a spring 3000 feet up Ben Rinnes north-east face. This single cask offers caramel-dipped apple and pear notes with hints of brown sugar on the nose. Intense vanilla and zesty citrus on the palate are followed by a very long finish. ",Single Malt,Speyside
Glenbuck Scotch,12.99,None,Sazerac,,Blended Scotch,
Glencadam 10 Yr,57.99,None,Glencadam," Highlands, Scotland - To the nose, aromatic and fresh. Hay, fruit, gentle wood influence with light vanilla and spice. On the palate, beautifully balanced with tart fruits, freshly cut hay and vanilla sweetness. Long and gentle finish as it fades out on barley malt and fruit. ",Single Malt,Highland
Glencadam 15 Yr,94.99, Rich . Honey . Smoke . Balanced ,Glencadam," Highlands, Scotland- Malt and citrus fruits on a slight medicinal background, mingled with floral hints and a touch of smoke. Complex with honey hints and acid touches, liquorice hints. ",Single Malt,Highland
Glencadam 21 Yr,199.99, Rich . Citrus . Tropical Fruit . Spice . Long ,Glencadam," Highlands, Scotland - On the nose, buttery and sweet with notes of tropical fruits, citrus, toast, and custard. on the palate, spicy and tingling on the tongue with oak-led spices, vanilla, cinnamon and allspice. Good length finish with some oaky dryness and tropical fruit. ",Single Malt,Highland
Glendronach 12Yr,48.99, Delicate . Vanilla . Sherry . Balanced ,Glendronach," Highlands, Scotland- Matured in sherry casks for 12 years then finished in American oak. This has the effect of marrying the sherry notes with the creamy vanilla tones that American oak offers. It is a beautifully smooth whisky. 90 PTS. - BEVERAGE TASTING INSTITUTE ",Single Malt,Highland
Glendronach 18 Yr,159.99,None,Glendronach," Scotland- The nose is clean w/ sherry and a mix of classic notes. The taste is bold with notes of dry walnuts, roasted coffee beans, and treacle backed by dark chocolate & orange rind aromas from the nose. Long finish. 1st place at Int. Whiskey Comp. in best 18 yr sing. mlt. category ",Single Malt,Highland
Glendronach 21 Yr Parliament,229.99, Rich . Sherry . Chocolate . Spice . Long ,Glendronach," Scotland- Resolute flavors of fine Oloroso sherry, bitter chocolate sauce, and plum pudding. This is all infused with fabulous spicy notes - cinnamon, allspice and nutmeg. Full bodied with smooth tannins. Long and lingering finish. 2nd place at Int. Whiskey Comp. in 19-24 yr. category. ",Single Malt,
Glendronach Grandeur 24Yr,659.99,None,Glendronach," Highland, Scotland- The most recent expression of Grandeur, Batch 7, was bottled at twenty five years old. It is a classical representation of the smooth, complex and full bodied style that GlenDronach is famous for. Individually numbered by hand, each bottle is unique. ",Single Malt,Highland
Glendronach Kingsman Edition 1991 Vintage,1049.99, Intense . Sherry . Malt . Long ,Glendronach," Highlands, Scotland- An exclusive, ultra-premium bottling of The GlenDronach Single Malt Scotch Whisky, fully matured in sherry casks for over 25 years and bottled to celebrate the film, Kingsman: The Golden Circle. Whisky maker, Rachel Barrie, blended together the finest 1991 casks. ",Single Malt,Highland
Glendronach Revival 15 Yr,79.99,None,Glendronach,,Single Malt,
Glendronach Single Cask Sherry 24Yr,599.99,None,Glendronach," Highland, Scotland- Two batches of Single Casks are released for genex per year, starting with Batch 1 in 2009. The latest, Batch 14, was released in November 2016. This selection is 24 years old. ",Single Malt,Highland
Glendronach Single Cask Sherry 27yr,969.99,None,Glendronach," Highland, Scotland- Two batches of Single Casks are released for genex per year, starting with Batch 1 in 2009. The latest, Batch 14, was released in November 2016. This selection is 27 years old. ",Single Malt,Highland
Glenfarclas 10 Yr,46.99, Rich . Smoke . Peat . Spice . Long ,Glenfarclas," Speyside, Scotland- Straw gold color. Sherry-sweet malty aromas combine with a light smokiness and subtle spice. Delicately light, sweet and malty, with hints of biscuits and cream and peaty notes. Leaves a long, slightly spicy finish with a lingering smokiness. ",Single Malt,Speyside
Glenfarclas 105,92.99,None,Glenfarclas," Scotland - Dry and assertive, develops quickly to reveal a rich peppery smokiness, combined with a hint of oak and sherried fruit. The finish is amazingly smooth for the strength, wonderfully warming, with a lingering smokiness. Sip neat or on the rocks. Enjoy! ",Single Malt,
Glenfarclas 12 Yr,46.99, Rich . Oak . Malt . Smoke . Balanced ,Glenfarclas," Speyside, Scotland- Light gold with a strong nose of sherry, smoke and fruit. Full, firm and a trace of oil on the palate with flavors of malt and some peat and smoke. Slighly dry. ",Single Malt,Speyside
Glenfarclas 17 Yr,89.99,None,Glenfarclas," Speyside, Scotland- Complex nose, with distinctive butterscotch, sherried fruit and peat smoke aromas. Big and full-flavored with excellent balance. Develops slowly, full of sherry-sweet malty tones and a touch of peat smoke. Finishes long and smooth, with a hint of spice. ",Single Malt,Speyside
Glenfarclas 21 Yr,129.99,None,Glenfarclas," Speyside, Scotland- Intense nose full of aromas of fruit, nutmeg and almonds with slight citrus notes at the end, all held together with a vanilla sweet smokiness. Full bodied rich and rounded develops slowly into fruity, smoky and spicy flavours. Long, smooth and smoky finish. ",Single Malt,Speyside
Glenfarclas 25 Yr,159.99,None,Glenfarclas," Speyside, Scotland- Amber with dark gold highlights, full ripe and sweet, with finely peated with aromas of orange marmalade, honey, coffee, sherry and nuttiness. The finish is fresh with a long lasting smoky maltiness. ",Single Malt,Speyside
Glenfarclas 40 Yr,999.99, Rich . Orange . Chocolate . Balanced ,Glenfarclas," Speyside, Scotland - The nose has antique leather, walnuts and chocolate covered raisins leading to a sweet initial taste of orange and chocolate then a lovely flavor of burnt brown sugar. The dry finish oozes big tannins and more rich dark cocoa. ",Single Malt,
Glenfarclas Family Cask 1973,679.99, Light . Leather . Sherry . Apple . Long ,Glenfarclas," Speyside, Scotland- Lightly sweetened caramel, toffee apple aromas with fresh green apple underneath. Fresh, cotton candy flavor with notes of leather, sherry and berry cheesecake. Finishes long and slightly dry with lingering fruitiness. Try it neat. Enjoy! ",Single Malt,
Glenfarclas Family Cask 1983,449.99, Rich . Oak . Apple . Balanced ,Glenfarclas," Speyside, Scotland- A slightly musky aroma with a hint of cooking apples. Silky, slight oily texture with full flavor of oak and tannins. Finishes with a unique cola, bubble gum flavor. Try it on the rocks! ",Single Malt,
Glenfiddich 12 Yr,26.99, Rich . Peat . Oak . Balanced ,Glenfiddich," Speyside, Scotland- The pioneer of the Single Malt Scotch category and one of the world's most popular. Distinctively fragrant, balancing the fruitiness of pear with the richness of subtle oak. Displaying complex, elegantly rounded flavors with a creamy, mellow finish. ",Single Malt,Speyside
Glenfiddich 14 Yr Bourbon Barrel Reserve,43.99,None,Glenfiddich," Speyside, Scotland - Strong oak influence on the nose. Very fruity with nutmeg, cinnamon, fruits, dates. On the palate, bourbon sweetness, with strong fruitiness, sublimely smooth. Long nutty, toasty finish with hint of char. IWSC 'Gold Outstanding' Winner ",Single Malt,Speyside
Glenfiddich 15 Yr,52.99, Rich . Sherry . Spice . Long ,Glenfiddich," Speyside, Scotland-Richly layered whisky is matured in 3 types of oak cask: sherry, bourbon and new oak, before being married in a handcrafted Solera vat. Complex aroma with sweet honey and vanilla fudge combined with rich dark fruits. Smooth, with layers of sherry, cinnamon and ginger. ",Single Malt,Speyside
Glenfiddich 18 Yr,89.99, Intense . Apple . Smoke . Long ,Glenfiddich," Speyside, Scotland- An exceptionally smooth Single Malt Scotch combining a touch of sweetness from Spanish Sherry wood, with the oakiness drawn from traditional American casks. Remarkably rich aroma delivers luxurious apple and spice notes on the mellow, smoky palate. ",Single Malt,Speyside
Glenfiddich 1963 Replica Release,89.99,None,Glenfiddich," Speyside, Scotland - Glenfiddich's Malt Master, Brian Kinsman, has faithfully replicated a true taste of history. This exclusive whisky is light and fruity with hints of sherry spice from the European oak sherry butts that were predominantly used in the 1960s. Sip neat and enjoy! ",Single Malt,
Glenfiddich 1973 Reserve,5899.99, Rich . Spice . Nut . Long ,Glenfiddich," Speyside, Scotland- The first vintage reserve to have matured in Spanish sherry casks for 44 years. The nose has rich oak notes, a subtle nuttiness and sherried sweetness that leads to a stunning sweet and spicy sensation upon taste and a warm and lingering finish. ",Single Malt,Speyside
Glenfiddich 1978 Vintage Cask,3999.99, Rich . Fruit . Vanilla . Oak . Long ,Glenfiddich," Speyside, Scotland - The nose is balanced with our hallmark pear and fruity notes. The taste is velvety smooth. Rich vanilla oak notes are punctuated by vibrant fruitiness. The finish is long and rich, our signature fruity character lingers on the palate. ",Single Malt,Speyside
Glenfiddich 21 Yr,179.99, Intense . Toffee . Spice . Long ,Glenfiddich," Speyside, Scotland- Intense and sweet, floral hints of banana, figs and rich toffee. Complex, Initially soft, then brisk and vibrant, peppery, a touch of smoke, vanilla, ginger, lime, spices and new leather. Finish is very long, warming and spicy. ",Single Malt,Speyside
Glenfiddich 26 Yr,449.99, Intense . Vanilla . Oak . Spice . Complex ,Glenfiddich," Speyside, Scotland - A rare and aged single malt Scotch whisky that has spent 26 long years carefully maturing in American Oak ex-bourbon casks. This expression was created to honor Glenfiddich's line of continuous family ownership since William Grant founded our distillery in 1887. ",Single Malt,
Glenfiddich 30 yr,749.99, Rich . Sherry . Honey . Long ,Glenfiddich," Speyside,Scotland- Matured for over 30 years in the finest sherry and bourbon casks, this rare whisky reveals an complexity of fragrance and flavor. Subtle notes of sherry and fig are balanced by rich dark chocolate tones. Finish is exceedingly long, smooth, honeyed and warm. ",Single Malt,Speyside
Glenfiddich 40 Yr,3799.99, Rich . Oak . Leather . Toffee . Complex ,Glenfiddich," Speyside, Scotland - An exquisite single malt created from hand selected casks married with remnants of previous 40 year vattings. Mahogany in color with complex aromas of oak, leather, dried fruits, and toffee. Full bodied with notes of black cherry, nuts, tobacco, and mellow smoke. ",Single Malt,Speyside
Glenfiddich 50 Yr,38999.99, Intense . Orange . Toffee . Oak . Long ,Glenfiddich," Speyside, Scotland - To the nose, a beautifully harmonious with an uplifting, vibrant and complex aroma. On the palate, initially very sweet with a zesty orange marmalade and vanilla toffee. The finish is exceptionally long with a touch of dry oak and the merest trace of peat. ",Single Malt,
