,title,price,avg_rating,taste,score,brand,description,spirit_style,state,taste_list
489,D. Taylor Single Caperdonich 1992 20YO,329.99,-1.0, Medium . Lemon . Oat . Creamy . Complex ,-1,Duncan Taylor," Speyside, Scotland - Though now no longer producing scotch, this distillery is famous for very complex and balanced whiskys. Vanilla and oak with lashings of cream and a long, rich finish. ",Single Malt,Speyside,"[' medium', 'lemon', 'oat', 'creamy', 'complex ']"
490,Dalmore 12 Yr,54.99,4.7, Rich . Spice . Maple . Long ,91,Dalmore," Highlands, Scotland- With its intricate aromas and flavors, it is recognized as a whisky with character far beyond its age. Aromas of citrus fruits, chocolate, and spices. Concentrated citrus flavors on the palate with notes of oloroso sherry and hints of vanilla pod. Finish of coffee. ",Single Malt,Highland,"[' rich', 'spice', 'maple', 'long ']"
491,Dalmore 12yr Gift,65.99,-1.0,None,-1,Dalmore,,Single Malt,Highland,['none']
492,Dalmore 15 Yr,109.99,4.5, Rich . Vanilla . Citrus . Balanced ,92,Dalmore," Highlands, Scotland- Smooth, rich, and well rounded; the epitome of Dalmore style. Aromas of orange marmalade, cinnamon, and nutmeg. Notes of mandarin, vanilla, ginger, and crushed apples on the palate. Finishes with Christmas spice and oak. Matured for 12 years in ex-bourbon casks. ",Single Malt,Highland,"[' rich', 'vanilla', 'citrus', 'balanced ']"
493,Dalmore 18 Yr,229.99,4.7, Rich . Fruit . Vanilla . Toffee . Complex ,95,Dalmore," Highlands, Scotland- Aged in American oak for 14 years and then finished off in Spanish sherry butts for 3 years. A rich, lush, sherried Dalmore expression. Fruity notes of succulent orange, strawberry rhubarb tart, and sultana on a bed of toffee and vanilla. ",Single Malt,Highland,"[' rich', 'fruit', 'vanilla', 'toffee', 'complex ']"
494,Dalmore 1974,1399.99,-1.0, Rich . Dried Fruit . Honey . Spice . Long ,-1,Dalmore," Tastings.Com-Highlands, Scotland- ""Expansive aromas of melted praline, oiled leather, dried cherry, and apple tart follow through on a rich round entry to a dry-yet-fruity full body with layers of sweet toffee, dried fruits, orange blossom honey and spices. Finish is long and vibrant."" ",Single Malt,,"[' rich', 'dried fruit', 'honey', 'spice', 'long ']"
495,Dalmore 25 Yr,999.99,-1.0, Medium . Floral . Citrus . Toffee . Balanced ,-1,Dalmore," Highlands, Scotland - Dalmore 25 is matured initially in American white oak before a second maturation in a combination of Palomino Fino sherry butts and first fill bourbon casks then married together in bourbon barrels before a finishing period in Tawny Port pipes. ",Single Malt,,"[' medium', 'floral', 'citrus', 'toffee', 'balanced ']"
496,Dalmore 35 Yr,4999.99,-1.0, Rich . Almond . Coffee . Long ,-1,Dalmore," Highland, Scotland- Aromas of crushed almonds, coffee mousse, soft liquorice and ginger bread on the nose. The palate has dark treacle cake, banana bread and freshly ground coffee notes followed by hints of roasted chestnuts, raisins and intense orange peel in the finish. ",Single Malt,Highland,"[' rich', 'almond', 'coffee', 'long ']"
497,Dalmore 40 Yr,7999.99,-1.0, Rich . Honey . Maple . Complex ,-1,Dalmore," Highlands, Scotland- Lush oak on the nose. Malty; citrus notes blend with tobacco and ash, black tea, banana and maple syrup. Intial fruit flavors lead into honeyed tones, then toasted oak. A slow drinker. ",Single Malt,Highland,"[' rich', 'honey', 'maple', 'complex ']"
498,Dalmore 45 Yr,11999.99,-1.0, Rich . Raspberry . Hazelnut . Toffee . Balanced ,-1,Dalmore," Scotland- Dalmore 40 year is matured in American white oak ex-bourbon casks before spending five years in vintage Colheita port pipes, the whisky is then married together and finished in first-fill American white oak ex-bourbon casks. ",Single Malt,Highland,"[' rich', 'raspberry', 'hazelnut', 'toffee', 'balanced ']"
